ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,% of exams sat that received DA,HSC Students,Exams Sat,DA,Sector,Campus Type,Governing Body,Year Range,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%)
40921,Reddam House,Woollahra,2025,Combined,Major Cities,-33.8893,151.253,98,0.532,297,558,102,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1189,0,2,13,84,142,104.9,62,24.8,1223,555,668,1223,0,88
41149,Sydney Boys High School,Moore Park,2021,Secondary,Major Cities,-33.8922,151.219,100,0.515,640,1244,212,Government,School Single Entity,Department of Education NSW,7-Dec,1184,0,10,17,74,74,79,19,14.8,1208,0,1208,1204.3,0,91
41325,Normanhurst Boys High School,Normanhurst,2076,Secondary,Major Cities,-33.7215,151.101,100,0.502,391,779,126,Government,School Single Entity,Department of Education NSW,"U, 7-12",1208,0,5,14,82,52,57.6,14,13.1,751,0,751,750.6,0,85
41349,Northern Beaches Secondary College Manly Campus,North Curl Curl,2099,Secondary,Major Cities,-33.7624,151.281,100,0.435,343,789,135,Government,School Single Entity,Department of Education NSW,7-Dec,1224,0,2,14,84,52,58.8,13,10.1,789,330,459,788.9,0,44
40384,Coffs Harbour Christian Community School,Bonville,2450,Combined,Inner Regional,-30.3782,153.057,88,0.07,17,242,47,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1038,20,27,31,22,62,59,57,52.1,886,458,428,886,2,12
40408,Tangara School for Girls,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,97,0.163,30,184,35,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32
40409,Heritage Christian School,Port Macquarie,2444,Combined,Inner Regional,-31.4303,152.882,76,,,,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,995,27,33,27,13,41,34.4,28,21,370,179,191,370,11,2
40436,Chifley College Senior Campus,Mount Druitt,2770,Secondary,Major Cities,-33.7693,150.83,Not Rated,0.006,4,666,160,Government,School Single Entity,Department of Education NSW,"U, 11-12",909,62,27,9,2,46,49.9,17,14.1,478,244,234,478,19,50
40437,Moree Secondary College Albert St Campus,Moree,2400,Secondary,Outer Regional,-29.482,149.84,Not Rated,0.012,2,161,30,Government,School Single Entity,Department of Education NSW,10-Dec,882,56,27,13,4,28,28.7,13,6.8,188,100,88,183.6,38,6
40438,St Marys Senior High School,St Marys,2760,Secondary,Major Cities,-33.7631,150.77,Not Rated,0.077,180,2326,444,Government,School Single Entity,Department of Education NSW,11-Dec,1043,17,28,33,21,66,66.8,13,12,902,571,331,899.9,1,67
41177,Fort Street High School,Petersham,2049,Secondary,Major Cities,-33.8902,151.153,99,0.388,341,879,152,Government,School Single Entity,Department of Education NSW,7-Dec,1184,0,11,19,70,63,63,13,11.4,908,335,573,907.2,0,75
40440,Brisbane Water Secondary College Woy Woy Campus,Woy Woy,2256,Secondary,Major Cities,-33.4927,151.324,Not Rated,0.008,6,751,170,Government,School Single Entity,Department of Education NSW,"U, 10-12",971,41,34,19,6,54,59,13,13.3,682,345,337,678.1,9,10
40441,Sydney Secondary College Blackwattle Bay Campus,Glebe,2037,Secondary,Major Cities,-33.8751,151.188,Not Rated,0.103,174,1689,332,Government,School Single Entity,Department of Education NSW,"U, 11-12",1084,8,18,35,39,64,64.7,17,16.5,777,275,502,775.4,2,46
40451,All Saints Catholic Senior College,Casula,2170,Secondary,Major Cities,-33.9539,150.907,Not Rated,0.046,53,1144,200,Catholic,School Single Entity,Catholic Schools NSW,11-Dec,1024,22,32,31,16,46,41.2,13,8.8,459,244,215,459,3,71
41554,Hurlstone Agricultural High School,Glenfield,2167,Secondary,Major Cities,-33.9704,150.894,99,0.355,298,840,150,Government,School Single Entity,Department of Education NSW,7-Dec,1127,6,17,25,53,60,66.6,33,13.8,957,426,531,956.6,0,90
40496,Northern Beaches Secondary College Freshwater Senior Campus,Freshwater,2096,Secondary,Major Cities,-33.7683,151.28,Not Rated,0.148,227,1535,306,Government,School Single Entity,Department of Education NSW,11-Dec,1080,9,22,34,35,52,56.8,12,8.9,618,403,215,616.3,0,20
41148,St George Girls High School,Kogarah,2217,Secondary,Major Cities,-33.9591,151.136,99,0.32,305,953,166,Government,School Single Entity,Department of Education NSW,7-Dec,1147,4,13,22,61,58,63.1,9,11.4,926,926,0,924.7,0,91
40530,Callaghan College Jesmond Senior Campus,Jesmond,2299,Secondary,Major Cities,-32.9015,151.696,Not Rated,,,,,Government,School Single Entity,Department of Education NSW,"U, 11-12",974,38,33,20,9,58,54.5,15,12.3,612,301,311,604.8,12,13
41151,Sydney Technical High School,Bexley,2207,Secondary,Major Cities,-33.9631,151.114,99,0.297,260,875,162,Government,School Single Entity,Department of Education NSW,7-Dec,1123,3,16,27,53,64,63.6,12,11.4,921,0,921,918.1,0,93
41159,Caringbah High School,Caringbah,2229,Secondary,Major Cities,-34.0336,151.121,99,0.291,254,873,156,Government,School Single Entity,Department of Education NSW,7-Dec,1176,1,8,20,71,55,62.4,13,11.4,914,381,533,913.2,1,45
40611,St Paul's International College,Moss Vale,2577,Secondary,Inner Regional,-34.5492,150.368,97,,,,,Independent,School Single Entity,Catholic Schools NSW,7-Dec,,,,,,30,28.4,20,17.6,156,52,104,156,1,8
40617,"De La Salle Catholic College, Cronulla",Cronulla,2230,Secondary,Major Cities,-34.0556,151.143,Not Rated,,,,,Catholic,School Single Entity,Catholic Schools NSW,11-Dec,1064,9,27,38,25,40,36.4,17,10,448,249,199,448,1,16
40618,All Saints College (St Mary's Campus),Maitland,2320,Secondary,Major Cities,-32.7378,151.56,Not Rated,0.03,33,1118,191,Catholic,School Single Entity,Catholic Schools NSW,11-Dec,1029,19,34,29,17,57,50.5,24,15.7,445,264,181,445,5,5
40622,Five Islands Secondary College,Port Kembla,2505,Secondary,Major Cities,-34.4895,150.912,Not Rated,,,,,Government,School Single Entity,Department of Education NSW,"U, 9-12",934,60,21,12,6,30,34.4,11,9.6,213,120,93,204.4,9,14
40624,Coffs Harbour Senior College,Coffs Harbour,2450,Secondary,Inner Regional,-30.3302,153.103,Not Rated,0.064,59,917,171,Government,School Single Entity,Department of Education NSW,11-Dec,1039,18,28,31,23,41,39.5,9,8.1,470,280,190,460,3,7
40637,Bradfield College,St Leonards,2065,Secondary,Major Cities,-33.8205,151.188,Not Rated,0.025,12,488,106,Government,School Single Entity,Department of Education NSW,11-Dec,,,,,,39,28.2,22,13.2,290,183,107,266.9,0,
40638,Bankstown Senior College,Bankstown,2200,Secondary,Major Cities,-33.9291,151.023,Not Rated,0.012,3,249,54,Government,School Single Entity,Department of Education NSW,"U, 10-12",896,82,11,4,2,46,56.2,12,15.7,524,262,262,522.1,0,98
40639,Australian Institute of Music,Surry Hills,2010,Secondary,Major Cities,-33.8833,151.209,Not Rated,,,,,Independent,School Single Entity,Association of Independent Schools of New South Wales,12,,,,,,9,3,0,0,8,6,2,7.4,0,
40646,Wyndham College,Quakers Hill,2763,Secondary,Major Cities,-33.726,150.88,Not Rated,0.015,18,1175,235,Government,School Single Entity,Department of Education NSW,"U, 11-12",1002,30,34,25,12,58,58.7,15,14.3,628,316,312,625.9,5,35
41328,Chatswood High School,Chatswood,2067,Secondary,Major Cities,-33.8,151.175,98,0.223,264,1182,221,Government,School Single Entity,Department of Education NSW,"U, 7-12",1120,4,12,30,54,99,114.8,29,26.5,1575,556,1019,1574.4,0,80
41322,Willoughby Girls High School,Willoughby,2068,Secondary,Major Cities,-33.8031,151.2,96,0.216,191,884,169,Government,School Single Entity,Department of Education NSW,7-Dec,1134,4,9,27,60,59,64.9,12,11.4,962,962,0,961.4,0,55
40672,Calrossy Anglican School,Tamworth,2340,Secondary,Inner Regional,-31.0572,150.912,84,,,,,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1078,8,19,36,37,128,76.3,111,56.3,895,539,356,894.5,4,1
40676,Great Lakes College Senior Campus,Tuncurry,2428,Secondary,Inner Regional,-32.1705,152.501,Not Rated,0.024,17,722,137,Government,School Single Entity,Department of Education NSW,"U, 11-12",986,34,30,23,13,35,39.6,8,8.8,395,222,173,393.3,10,3
40681,Georges River College Oatley Senior Campus,Oatley,2223,Secondary,Major Cities,-33.977,151.081,Not Rated,0.048,79,1640,342,Government,School Single Entity,Department of Education NSW,"U, 11-12",1029,23,30,29,18,63,65.6,15,13.1,725,363,362,723,1,74
41576,Sefton High School,Sefton,2162,Secondary,Major Cities,-33.8795,151.009,98,0.193,175,905,171,Government,School Single Entity,Department of Education NSW,7-Dec,1026,29,27,25,20,65,69.8,12,12.6,1056,476,580,1056,0,95
40707,Dubbo College Senior Campus,Dubbo,2830,Secondary,Inner Regional,-32.233,148.626,Not Rated,0.036,31,867,188,Government,School Single Entity,Department of Education NSW,"U, 11-12",937,37,32,22,10,48,57.5,17,16.1,526,281,245,523.9,33,5
41338,Killarney Heights High School,Killarney Heights,2087,Secondary,Major Cities,-33.7719,151.215,95,0.19,117,615,113,Government,School Single Entity,Department of Education NSW,7-Dec,1114,4,13,32,51,59,61.8,9,10.9,892,371,521,891,0,46
41324,Cheltenham Girls High School,Beecroft,2119,Secondary,Major Cities,-33.7565,151.073,98,0.19,207,1089,203,Government,School Single Entity,Department of Education NSW,7-Dec,1139,2,10,27,61,86,88.9,20,15,1371,1371,0,1367.9,0,68
40721,Lakes Grammar - An Anglican School,Warnervale,2259,Combined,Major Cities,-33.2424,151.444,90,,,,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1065,9,25,37,29,74,65.3,27,23.5,917,456,461,917,4,10
40728,CathWest Innovation College,Mount Druitt,2770,Secondary,Major Cities,-33.77,150.828,,,,,,Catholic,School Single Entity,Catholic Schools NSW,11-Dec,991,34,32,23,10,33,32.2,16,12.1,308,122,186,308,6,50
41335,St Ives High School,St Ives,2075,Secondary,Major Cities,-33.7401,151.167,95,0.183,123,672,127,Government,School Single Entity,Department of Education NSW,"U, 7-12",1121,3,11,31,55,68,73.3,11,14.2,1046,446,600,1041.4,0,49
41350,Cherrybrook Technology High School,Cherrybrook,2126,Secondary,Major Cities,-33.7199,151.038,97,0.179,292,1636,294,Government,School Single Entity,Department of Education NSW,7-Dec,1138,2,9,28,61,116,127.6,20,21.4,2005,893,1112,2003.2,0,66
41334,Castle Hill High School,Castle Hill,2154,Secondary,Major Cities,-33.7266,151,95,0.176,211,1200,226,Government,School Single Entity,Department of Education NSW,7-Dec,1108,5,14,32,49,115,117.7,14,18.2,1801,890,911,1799.6,1,48
41343,Killara High School,Killara,2071,Secondary,Major Cities,-33.7566,151.174,97,0.175,251,1435,264,Government,School Single Entity,Department of Education NSW,7-Dec,1154,2,6,23,69,101,110.4,20,17.4,1667,642,1025,1664.5,0,54
41351,Northern Beaches Secondary College Mackellar Girls Campus,Manly Vale,2093,Secondary,Major Cities,-33.7821,151.272,95,0.174,135,775,138,Government,School Single Entity,Department of Education NSW,7-Dec,1109,5,17,31,47,81,90,16,16,1322,1322,0,1320.6,2,27
41556,Strathfield Girls High School,Strathfield,2135,Secondary,Major Cities,-33.8739,151.085,95,0.168,149,885,168,Government,School Single Entity,Department of Education NSW,7-Dec,1072,11,22,33,33,65,72.9,12,12.2,1028,1028,0,1026.8,0,91
41180,Newtown High School of Performing Arts,Newtown,2042,Secondary,Major Cities,-33.8995,151.178,93,0.158,137,870,171,Government,School Single Entity,Department of Education NSW,7-Dec,1120,4,12,29,56,68,70.7,12,12.6,1066,675,391,1063.6,2,28
41331,Mosman High School,Mosman,2088,Secondary,Major Cities,-33.8297,151.243,93,0.154,149,969,188,Government,School Single Entity,Department of Education NSW,7-Dec,1123,3,12,30,56,69,74,10,13,1102,544,558,1099.3,0,36
41153,Burwood Girls High School,Croydon,2132,Secondary,Major Cities,-33.8753,151.113,93,0.153,168,1099,209,Government,School Single Entity,Department of Education NSW,7-Dec,1090,10,17,30,42,77,81.1,13,13.4,1179,1179,0,1178.4,1,70
40790,Hunter Trade College,Telarah,2320,Secondary,Major Cities,-32.7393,151.538,Not Rated,,,,,Independent,School Single Entity,Association of Independent Schools of New South Wales,11-Dec,982,34,38,23,5,16,14.4,18,16.4,235,9,226,235,8,1
40792,Newman Senior Technical College,Port Macquarie,2444,Secondary,Inner Regional,-31.4281,152.873,Not Rated,,,,,Catholic,School Single Entity,Catholic Schools NSW,11-Dec,992,26,37,27,10,37,31,37,29,340,143,197,340,10,0
40795,NSW School of Languages,Petersham,2049,Secondary,Major Cities,-33.8948,151.15,Not Rated,,,,,Government,School Single Entity,Department of Education NSW,7-Dec,,,,,,81,89.3,11,13.1,,,,,,
41353,Epping Boys High School,Eastwood,2122,Secondary,Major Cities,-33.7695,151.1,96,0.147,139,944,174,Government,School Single Entity,Department of Education NSW,"U, 7-12",1113,5,12,32,51,81,85.8,16,16.8,1278,0,1278,1276,0,65
41341,Carlingford High School,Carlingford,2118,Secondary,Major Cities,-33.7659,151.051,97,0.141,134,951,186,Government,School Single Entity,Department of Education NSW,7-Dec,1111,5,15,30,50,78,85.4,13,13.8,1260,476,784,1259.8,0,80
41178,Tempe High School,Tempe,2044,Secondary,Major Cities,-33.9198,151.161,96,0.138,100,725,137,Government,School Single Entity,Department of Education NSW,7-Dec,1074,14,20,28,39,61,64.6,14,11.4,946,380,566,945,3,71
40825,Trades Norwest Anglican Senior College,Glenwood,2768,Secondary,Major Cities,-33.7319,150.941,Not Rated,,,,,Independent,School Single Entity,Association of Independent Schools of New South Wales,10-Dec,,,,,,10,8.4,3,2.4,44,5,39,44,2,
40827,Pacific Coast Christian School,Tweed Heads South,2486,Combined,Major Cities,-28.1965,153.521,71,,,,,Independent,School Single Entity,Christian Schools Australia,K-12,960,37,32,22,8,27,26,28,19.2,354,176,178,354,20,6
40832,Lindfield Montessori Preschool,West Lindfield,2070,Combined,Major Cities,-33.7778,151.148,,,,,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K,,,,,,3,2.9,1,0.3,3,1,2,3,0,
40845,Karuna Montessori School,Narraweena,2099,Combined,Major Cities,-33.7478,151.276,,,,,,Independent,School Single Entity,Montessori Australia,K,,,,,,3,2,1,1,8,3,5,8,0,
40850,Farmhouse Montessori School,North Balgowlah,2093,Combined,Major Cities,-33.7834,151.246,,,,,,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-5,1180,0,1,14,85,7,5.4,5,4.5,44,18,26,44,0,34
41339,Turramurra High School,South Turramurra,2074,Secondary,Major Cities,-33.7573,151.115,95,0.122,108,886,172,Government,School Single Entity,Department of Education NSW,7-Dec,1126,3,11,29,56,76,82.2,20,14.8,1207,531,676,1206.9,1,39
40892,All Saints Grammar,Belmore,2192,Secondary,Major Cities,-33.9295,151.095,91,0.05,11,222,44,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1089,8,20,34,38,55,50.1,32,18.3,563,256,307,563,0,53
40905,St John Paul II Catholic College (Nirimba),Quakers Hill,2763,Secondary,Major Cities,-33.7257,150.881,83,,,,,Catholic,School Head Campus,Catholic Schools NSW,7-Dec,1033,20,31,30,19,129,79.4,28,19.2,1007,483,524,1007,2,38
40926,Clarence Valley Anglican School,Clarenza,2460,Combined,Inner Regional,-29.7179,152.967,82,,,,,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1022,22,27,29,22,36,27.1,28,12,324,152,172,324,8,5
41604,Prairiewood High School,Prairiewood,2176,Secondary,Major Cities,-33.85948,150.902,88,0.108,82,762,146,Government,School Single Entity,Department of Education NSW,"U, 7-12",978,43,28,19,10,75,86,21,17,1194,572,622,1191.5,1,85
41336,Ryde Secondary College,Ryde,2112,Secondary,Major Cities,-33.8133,151.119,97,0.108,85,791,142,Government,School Single Entity,Department of Education NSW,"U, 7-12",1095,9,16,31,44,70,79.8,17,16.4,1145,514,631,1142.8,1,73
41329,Riverside Girls High School,Gladesville,2111,Secondary,Major Cities,-33.8401,151.141,94,0.106,70,662,129,Government,School Single Entity,Department of Education NSW,7-Dec,1101,7,17,30,45,52,59.7,13,10.9,853,853,0,851.7,1,44
41603,Macquarie Fields High School,Macquarie Fields,2564,Secondary,Major Cities,-33.9968,150.885,96,0.105,103,986,186,Government,School Single Entity,Department of Education NSW,"U, 7-12",1061,14,21,34,31,75,79.9,18,16.6,1133,538,595,1132.4,2,84
41583,Canley Vale High School,Canley Vale,2166,Secondary,Major Cities,-33.8846,150.952,88,0.102,134,1316,232,Government,School Single Entity,Department of Education NSW,7-Dec,951,56,26,13,5,104,110.8,14,16.6,1560,780,780,1560,1,97
41326,Asquith Girls High School,Asquith,2077,Secondary,Major Cities,-33.6897,151.113,90,0.101,70,695,140,Government,School Single Entity,Department of Education NSW,7-Dec,1070,10,26,33,31,51,55.3,10,10.1,774,774,0,770.4,1,34
41327,Marsden High School,West Ryde,2114,Secondary,Major Cities,-33.8033,151.071,81,0.099,47,474,90,Government,School Single Entity,Department of Education NSW,"U, 7-12",1021,27,25,28,20,65,73.6,19,15.1,877,316,561,875.4,2,67
41173,Woolooware High School,Woolooware,2230,Secondary,Major Cities,-34.0398,151.146,89,0.098,68,694,140,Government,School Single Entity,Department of Education NSW,7-Dec,1059,13,29,33,25,56,62.2,12,11.4,919,457,462,919,1,19
41183,Rose Bay Secondary College,Dover Heights,2030,Secondary,Major Cities,-33.8783,151.276,93,0.093,65,697,137,Government,School Single Entity,Department of Education NSW,"U, 7-12",1111,4,14,32,50,79,89.9,19,17.6,1305,620,685,1304.4,0,43
41332,The Forest High School,Frenchs Forest,2086,Secondary,Major Cities,-33.7503,151.23,87,0.078,39,502,106,Government,School Single Entity,Department of Education NSW,"U, 7-12",1051,16,27,33,24,56,59.6,13,13.1,775,316,459,774.3,1,36
41600,Concord High School,Concord,2137,Secondary,Major Cities,-33.8644,151.109,90,0.077,59,767,146,Government,School Single Entity,Department of Education NSW,7-Dec,1065,13,22,33,32,69,82.5,15,13.8,1229,446,783,1229,3,69
41342,Barrenjoey High School,Avalon Beach,2107,Secondary,Major Cities,-33.6312,151.334,87,0.076,37,490,95,Government,School Single Entity,Department of Education NSW,7-Dec,1077,7,26,35,32,51,53.5,11,10.1,759,383,376,756,1,13
41333,Pittwater High School,Mona Vale,2103,Secondary,Major Cities,-33.6683,151.303,92,0.075,53,704,130,Government,School Single Entity,Department of Education NSW,"U, 7-12",1077,8,25,35,32,70,74,18,16.2,1078,542,536,1074.4,0,15
41609,Bossley Park High School,Bossley Park,2176,Secondary,Major Cities,-33.8662,150.884,79,0.073,78,1070,200,Government,School Single Entity,Department of Education NSW,"U, 7-12",980,41,32,21,7,96,102.3,23,20.9,1406,691,715,1405.4,1,82
41157,Port Hacking High School,Miranda,2228,Secondary,Major Cities,-34.0326,151.098,91,0.073,55,756,140,Government,School Single Entity,Department of Education NSW,"U, 7-12",1055,13,29,33,25,79,81.4,19,17.4,1161,584,577,1161,2,32
41344,Davidson High School,Frenchs Forest,2086,Secondary,Major Cities,-33.7447,151.205,90,0.073,34,468,86,Government,School Single Entity,Department of Education NSW,7-Dec,1075,8,26,36,30,57,59.3,15,10.9,882,429,453,879.6,0,20
41187,Canterbury Girls High School,Canterbury,2193,Secondary,Major Cities,-33.9073,151.123,88,0.072,38,525,106,Government,School Single Entity,Department of Education NSW,7-Dec,1060,17,23,28,32,54,54.8,10,10.1,738,738,0,734.8,2,60
41337,Ku-ring-gai High School,North Turramurra,2074,Secondary,Major Cities,-33.691,151.154,89,0.071,28,392,78,Government,School Single Entity,Department of Education NSW,"U, 7-12",1081,8,23,32,37,42,52.4,13,11.9,628,319,309,627.6,1,25
41158,Blakehurst High School,Blakehurst,2221,Secondary,Major Cities,-33.9804,151.113,84,0.071,57,801,148,Government,School Single Entity,Department of Education NSW,7-Dec,1031,21,30,32,17,69,75.3,12,12.6,1083,468,615,1081.8,1,84
41323,Hunters Hill High School,Hunters Hill,2110,Secondary,Major Cities,-33.8327,151.149,89,0.071,19,268,52,Government,School Single Entity,Department of Education NSW,7-Dec,1082,8,21,34,37,46,51.7,10,9.7,701,273,428,700.6,2,41
41174,Kirrawee High School,Kirrawee,2232,Secondary,Major Cities,-34.0435,151.073,92,0.071,66,935,180,Government,School Single Entity,Department of Education NSW,7-Dec,1075,8,25,34,33,73,80.3,20,13.8,1204,617,587,1204,2,14
41340,Pennant Hills High School,Pennant Hills,2120,Secondary,Major Cities,-33.7337,151.061,94,0.07,50,712,132,Government,School Single Entity,Department of Education NSW,"U, 7-12",1108,5,14,32,49,67,75.9,17,16.8,1020,449,571,1019,1,33
41561,East Hills Girls Technology High School,Panania,2213,Secondary,Major Cities,-33.9569,150.992,86,0.068,56,828,164,Government,School Single Entity,Department of Education NSW,7-Dec,1020,26,30,27,17,67,70.1,17,12.2,1040,1040,0,1037.9,2,73
41191,The Jannali High School,Jannali,2226,Secondary,Major Cities,-34.0157,151.062,87,0.066,12,181,40,Government,School Single Entity,Department of Education NSW,7-Dec,1048,16,30,30,24,51,58.5,15,10.9,863,445,418,863,2,17
41330,Asquith Boys High School,Asquith,2077,Secondary,Major Cities,-33.6923,151.103,84,0.066,23,350,62,Government,School Single Entity,Department of Education NSW,7-Dec,1051,14,29,35,22,46,48.4,9,8.5,582,0,582,581.2,1,24
41164,Cronulla High School,Cronulla,2230,Secondary,Major Cities,-34.0396,151.157,86,0.065,37,569,111,Government,School Single Entity,Department of Education NSW,7-Dec,1044,15,32,32,21,65,76.3,17,13.4,1179,594,585,1178.9,3,15
41555,Homebush Boys High School,Homebush,2140,Secondary,Major Cities,-33.8657,151.078,89,0.061,52,847,160,Government,School Single Entity,Department of Education NSW,7-Dec,1046,17,27,30,25,71,75.3,18,12.6,1076,0,1076,1076,0,90
41190,Dulwich High School of Visual Arts and Design,Dulwich Hill,2203,Secondary,Major Cities,-33.904,151.145,87,0.061,27,445,91,Government,School Single Entity,Department of Education NSW,"U, 7-12",1066,13,22,32,33,58,64.3,19,13.9,850,378,472,849.4,4,46
41185,Menai High School,Menai,2234,Secondary,Major Cities,-34.0029,151.024,84,0.059,49,838,151,Government,School Single Entity,Department of Education NSW,7-Dec,1042,16,30,32,22,80,86.1,16,14.8,1277,636,641,1277,2,36
41175,Sylvania High School,Sylvania,2224,Secondary,Major Cities,-34.0174,151.104,83,0.058,30,521,94,Government,School Single Entity,Department of Education NSW,7-Dec,1031,18,33,31,18,59,58,13,10.5,806,411,395,806,3,50
41574,Bonnyrigg High School,Bonnyrigg,2177,Secondary,Major Cities,-33.895,150.893,86,0.057,64,1129,195,Government,School Single Entity,Department of Education NSW,7-Dec,967,46,31,18,6,99,115.2,17,17.4,1658,845,813,1656.9,2,92
41155,Randwick Girls High School,Randwick,2031,Secondary,Major Cities,-33.9218,151.239,89,0.056,34,613,119,Government,School Single Entity,Department of Education NSW,7-Dec,1068,13,21,33,33,65,66.3,10,11.8,934,934,0,932.6,2,54
41346,Muirfield High School,North Rocks,2151,Secondary,Major Cities,-33.7647,151.022,92,0.055,26,471,97,Government,School Single Entity,Department of Education NSW,"U, 7-12",1069,11,26,31,32,58,63.2,14,14.5,841,399,442,838.8,1,31
41172,Engadine High School,Engadine,2233,Secondary,Major Cities,-34.0621,151.019,86,0.055,36,655,122,Government,School Single Entity,Department of Education NSW,"U, 7-12",1041,17,32,31,20,70,75.7,19,17.2,1035,568,467,1035,3,13
41563,Cabramatta High School,Cabramatta,2166,Secondary,Major Cities,-33.9014,150.929,77,0.055,64,1172,222,Government,School Single Entity,Department of Education NSW,"U, 7-12",927,66,22,9,3,107,125.1,23,26.5,1571,772,799,1571,1,96
41562,East Hills Boys High School,Panania,2213,Secondary,Major Cities,-33.9572,150.994,80,0.053,33,620,114,Government,School Single Entity,Department of Education NSW,"U, 7-12",1000,34,29,24,13,58,63.3,17,15.5,816,0,816,816,1,82
41170,Endeavour Sports High School,Caringbah,2229,Secondary,Major Cities,-34.0318,151.119,82,0.051,12,237,45,Government,School Single Entity,Department of Education NSW,"U, 7-12",1014,24,32,29,15,62,73,19,17.8,995,367,628,994,6,40
41596,Moorebank High School,Moorebank,2170,Secondary,Major Cities,-33.9258,150.959,90,0.051,39,771,142,Government,School Single Entity,Department of Education NSW,7-Dec,1018,26,31,28,14,69,73.2,13,12.6,1061,517,544,1060.4,2,76
41154,Randwick Boys High School,Randwick,2031,Secondary,Major Cities,-33.9256,151.239,89,0.05,20,399,80,Government,School Single Entity,Department of Education NSW,7-Dec,1058,15,25,31,29,46,47.5,9,8.5,619,0,619,619,3,60
