Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students,BE Score,ICSEA
5841,ANNE HAMERSLEY PRIMARY SCHOOL,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,-31.74539641,116.0087173,08 9297 7000,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,78,86,52,72,61,85,57,47,,,,,,,,,538,79,995
5509,ANZAC TERRACE PRIMARY SCHOOL,176 ANZAC TERRACE,BASSENDEAN,WA,6054,176 ANZAC TERRACE,BASSENDEAN,WA,6054,-31.89719261,115.9372531,08 9352 2600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,39,45,50,49,45,53,35,43,,,,,,,,,359,82,1026
5010,APPLECROSS PRIMARY SCHOOL,65 KINTAIL ROAD,APPLECROSS,WA,6153,65 KINTAIL ROAD,APPLECROSS,WA,6153,-32.01084327,115.8395984,08 6274 1850,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,77,76,92,81,76,61,59,,,,,,,,,582,98,1147
1107,AQUINAS COLLEGE,58 MT HENRY ROAD,SALTER POINT,WA,6152,58 MT HENRY ROAD,SALTER POINT,WA,6152,-32.02617519,115.8617538,08 9450 0600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,11,11,22,17,31,40,65,67,,158,185,175,182,174,174,,1312,98,1023
1241,ARANMORE CATHOLIC PRIMARY SCHOOL,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,-31.92790363,115.8392341,08 6318 7800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,59,46,49,41,49,58,43,51,,,,,,,,,396,93,1102
5792,ARBOR GROVE PRIMARY SCHOOL,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,-31.77105084,115.962637,08 6497 4800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,80,97,96,83,98,89,97,99,,,,,,,,,739,73,974
5012,ARDROSS PRIMARY SCHOOL,46 LINKS ROAD,ARDROSS,WA,6153,46 LINKS ROAD,ARDROSS,WA,6153,-32.0274405,115.8346577,08 9364 2771,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,39,38,43,61,45,59,53,67,,,,,,,,,405,99,1144
5014,ARMADALE PRIMARY SCHOOL,1 CARRADINE ROAD,ARMADALE,WA,6112,1 CARRADINE ROAD,ARMADALE,WA,6112,-32.14823967,116.0264848,08 9391 4500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,53,58,58,58,47,57,57,57,,,,,,,,,445,90,1038
5676,ASHBURTON DRIVE PRIMARY SCHOOL,6 NULLAGINE WAY,GOSNELLS,WA,6110,6 NULLAGINE WAY,GOSNELLS,WA,6110,-32.0862307,115.9841976,08 9234 6300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,51,61,58,65,63,54,57,52,,,,,,,,,461,71,934
5786,ASHDALE PRIMARY SCHOOL,51 ASHDALE BOULEVARD,DARCH,WA,6065,51 ASHDALE BOULEVARD,DARCH,WA,6065,-31.80875751,115.8437538,08 6207 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,85,106,95,111,117,115,126,110,,,,,,,,,865,84,1026
5015,ASHFIELD PRIMARY SCHOOL,65 MARGARET STREET,ASHFIELD,WA,6054,65 MARGARET STREET,ASHFIELD,WA,6054,-31.91530992,115.9409018,08 6216 1300,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,11,14,17,7,16,12,19,13,,,,,,,,,109,80,945
5854,ASPIRI PRIMARY SCHOOL,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,-32.138988,115.912209,08 9397 8300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,159,145,132,97,55,46,44,40,,,,,,,,,718,87,1075
1287,ASSUMPTION CATHOLIC PRIMARY SCHOOL,22-34 GORDON ROAD,MANDURAH,WA,6210,22-34 GORDON ROAD,MANDURAH,WA,6210,-32.50994328,115.7464321,08 9583 8500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,74,51,52,62,60,58,57,52,,,,,,,,,466,80,1027
1519,ATLANTIS BEACH BAPTIST COLLEGE,BREAKWATER DRIVE,TWO ROCKS,WA,6037,BREAKWATER DRIVE,TWO ROCKS,WA,6037,-31.473535,115.644623,08 9544 3000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,14,10,11,14,19,18,24,16,,21,11,12,11,,,,181,83,988
5016,ATTADALE PRIMARY SCHOOL,WICHMANN ROAD,ATTADALE,WA,6156,WICHMANN ROAD,ATTADALE,WA,6156,-32.02544682,115.8018145,08 6274 1700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,50,49,50,53,56,50,48,,,,,,,,,396,98,1143
5765,ATWELL PRIMARY SCHOOL,160 LYDON BOULEVARD,ATWELL,WA,6164,160 LYDON BOULEVARD,ATWELL,WA,6164,-32.13527555,115.867828,08 6174 2400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,100,97,96,90,93,90,95,114,,,,,,,,,775,92,1056
5820,AUBIN GROVE PRIMARY SCHOOL,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,-32.17306065,115.8623522,08 6174 6500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,102,143,118,147,140,149,132,136,,,,,,,,,1067,90,1068
5017,AUGUSTA PRIMARY SCHOOL,32 ALLNUTT TERRACE,AUGUSTA,WA,6290,PO BOX 106,AUGUSTA,WA,6290,-34.31671839,115.1595029,08 9781 5100,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,5,12,14,6,8,7,7,10,,,,,,,,,69,83,974
1487,AUSTIN COVE BAPTIST COLLEGE,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,-32.59324476,115.8065154,08 9537 7177,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,40,33,44,42,42,51,51,37,,57,60,50,45,45,40,,637,81,1015
1491,AUSTRALIAN CHRISTIAN COLLEGE - DARLING DOWNS,10 NINTH ROAD,HILBERT,WA,6112,10 NINTH ROAD,HILBERT,WA,6112,-32.17468068,116.0042944,08 9391 1500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,6,5,8,7,3,5,3,2,,,,,,,,,39,Not Rated,
1438,AUSTRALIAN CHRISTIAN COLLEGE - SOUTHLANDS,26 BREWSTER ROAD,ALBANY,WA,6330,LOCKED BAG 5,ALBANY,WA,6330,-34.99550802,117.9227056,08 9892 5100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y12,,23,15,26,18,30,34,52,,64,80,106,118,57,30,,653,81,1034
1441,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,139 PRESIDENT STREET,KEWDALE,WA,6105,139 PRESIDENT STREET,KEWDALE,WA,6105,-31.97999061,115.9325273,08 9362 5340,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,50,59,82,88,108,111,110,91,,208,193,189,159,148,133,,1729,96,985
1391,AUSTRALIAN ISLAMIC COLLEGE - NORTH OF THE RIVER,81 CLEVELAND STREET,DIANELLA,WA,6059,81 CLEVELAND STREET,DIANELLA,WA,6059,-31.90293601,115.8744467,08 9375 9770,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,50,78,81,82,91,86,75,82,,75,40,30,22,,,,792,95,972
1331,AUSTRALIAN ISLAMIC COLLEGE - PERTH,17 TONBRIDGE WAY,THORNLIE,WA,6108,17 TONBRIDGE WAY,THORNLIE,WA,6108,-32.05402507,115.9611396,08 9493 2718,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,50,60,88,62,67,75,66,55,,,,,,,,,523,92,993
5629,AUSTRALIND PRIMARY SCHOOL,BARNES AVENUE,AUSTRALIND,WA,6233,PO BOX A630,AUSTRALIND,WA,6233,-33.28059897,115.7271368,08 9796 3900,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,21,21,17,14,17,19,24,30,,,,,,,,,163,76,957
5853,AVELEY NORTH PRIMARY SCHOOL,77 STRINESDALE BOULEVARDE,AVELEY,WA,6069,77 STRINESDALE BOULEVARDE,AVELEY,WA,6069,-31.778441,115.991854,08 9297 7800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,105,97,94,66,44,40,39,23,,,,,,,,,508,73,990
5821,AVELEY PRIMARY SCHOOL,8 BOLERO ROAD,AVELEY,WA,6069,8 BOLERO ROAD,AVELEY,WA,6069,-31.79108088,115.9905586,08 6296 5466,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,79,77,86,81,109,106,80,79,,,,,,,,,697,80,1012
5018,AVONVALE PRIMARY SCHOOL,HUTT STREET,NORTHAM,WA,6562,PO BOX 666,NORTHAM,WA,6401,-31.64551218,116.6613138,08 9621 5200,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,16,17,19,14,10,15,15,12,,,,,,,,,118,68,755
5020,BABAKIN PRIMARY SCHOOL,FARRAR STREET,BABAKIN,WA,6428,PO BOX 288,CORRIGIN,WA,6375,-32.12359155,118.0209226,08 9065 2023,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,2,,2,1,1,3,3,2,,,,,,,,,14,Not Rated,969
5021,BADGINGARRA PRIMARY SCHOOL,MCNAMARA ROAD,BADGINGARRA,WA,6521,C/- POST OFFICE,BADGINGARRA,WA,6521,-30.4024941,115.550545,08 9652 9060,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,1,2,1,3,3,2,2,4,,,,,,,,,18,Not Rated,1033
5022,BAKERS HILL PRIMARY SCHOOL,33 SAINT GEORGE STREET,BAKERS HILL,WA,6021,33 SAINT GEORGE STREET,BAKERS HILL,WA,6562,-31.75120467,116.4615984,08 9574 3100,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,17,20,16,26,27,23,27,9,,,,,,,,,165,77,977
5023,BALCATTA PRIMARY SCHOOL,387 MAIN STREET,BALCATTA,WA,6021,387 MAIN STREET,BALCATTA,WA,6021,-31.88093054,115.8272729,08 9253 4900,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,33,30,26,34,28,25,15,,,,,,,,,233,91,1047
5847,BALDIVIS GARDENS PRIMARY SCHOOL,NADINE PROMENADE,BALDIVIS,WA,6171,NADINE PROMENADE,BALDIVIS,WA,6171,-32.300823,115.810062,08 9523 7000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,74,63,64,68,68,49,40,45,,,,,,,,,471,81,991
5024,BALDIVIS PRIMARY SCHOOL,214 FIFTY ROAD,BALDIVIS,WA,6171,214 FIFTY ROAD,BALDIVIS,WA,6171,-32.30718679,115.8174722,08 9523 5700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,73,50,87,78,78,80,82,94,,,,,,,,,622,76,989
5580,BALER PRIMARY SCHOOL,BALER CLOSE,SOUTH HEDLAND,WA,6722,PO BOX 2621,SOUTH HEDLAND,WA,6722,-20.40461541,118.6124558,08 9172 8400,PILBARA,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,65,70,80,63,67,86,59,77,,,,,,,,,567,72,927
5025,BALGA PRIMARY SCHOOL,11 FERNHURST CRESCENT,BALGA,WA,6061,11 FERNHURST CRESCENT,BALGA,WA,6061,-31.86059553,115.8448001,08 9253 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,36,20,26,16,19,20,17,19,,,,,,,,,173,72,907
5027,BALINGUP PRIMARY SCHOOL,CNR BROCKMAN AND STEERE STS,BALINGUP,WA,6253,PO BOX 372,BALINGUP,WA,6253,-33.78633822,115.9822069,08 9764 1093,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,9,5,8,17,4,13,5,4,,,,,,,,,65,93,1061
5702,BALLAJURA PRIMARY SCHOOL,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.83593382,115.892303,08 9338 2200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,94,81,95,103,98,87,105,89,,,,,,,,,752,98,1016
5609,BAMBARA PRIMARY SCHOOL,30 GOSSE ROAD,PADBURY,WA,6025,30 GOSSE ROAD,PADBURY,WA,6025,-31.79830122,115.7614207,08 9307 5911,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,39,34,24,17,20,23,20,19,,,,,,,,,196,94,1059
5762,BANKSIA GROVE PRIMARY SCHOOL,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,14 VIRIDIAN DRIVE,BANKSIA GROVE,WA,6031,-31.70254405,115.8089621,08 9233 6333    ,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,58,64,59,84,71,58,58,71,,,,,,,,,523,76,962
5701,BANKSIA PARK PRIMARY SCHOOL,HICKS STREET,LEEMING,WA,6149,HICKS STREET,LEEMING,WA,6149,-32.07166263,115.8754583,08 9266 6400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,32,34,30,26,36,35,36,40,,,,,,,,,269,94,1091
5817,BANNISTER CREEK PRIMARY SCHOOL,92 PURLEY CRESCENT,LYNWOOD,WA,6147,92 PURLEY CRESCENT,LYNWOOD,WA,6147,-32.0397245,115.9285022,08 9366 0900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,77,73,67,74,64,83,69,71,,,,,,,,,578,92,1036
5030,BASSENDEAN PRIMARY SCHOOL,70 WEST ROAD,BASSENDEAN,WA,6054,70 WEST ROAD,BASSENDEAN,WA,6054,-31.90747284,115.9534451,08 6216 1400,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,53,48,37,32,22,47,34,41,,,,,,,,,314,90,1075
5519,BATEMAN PRIMARY SCHOOL,2 BARTLING CRESCENT,BATEMAN,WA,6150,2 BARTLING CRESCENT,BATEMAN,WA,6150,-32.05066001,115.8453415,08 6258 6900,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,44,44,43,44,44,42,49,,,,,,,,,352,95,1118
5830,BAYNTON WEST PRIMARY SCHOOL,MARNIYARRA LOOP,BAYNTON,WA,6714,MARNIYARRA LOOP,BAYNTON,WA,6714,-20.75252283,116.79939,08 9187 6200,PILBARA,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,95,113,102,112,90,113,94,76,,,,,,,,,795,82,995
5031,BAYSWATER PRIMARY SCHOOL,MURRAY STREET,BAYSWATER,WA,6053,MURRAY STREET,BAYSWATER,WA,6053,-31.92081606,115.9117733,08 9462  6600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,54,62,61,45,48,55,33,,,,,,,,,418,95,1097
5190,BAYULU REMOTE COMMUNITY SCHOOL,GOGO STATION ROAD,VIA FITZROY CROSSING,WA,6765,PO BOX 76,FITZROY CROSSING,WA,6765,-18.28637,125.58345,08 9163 8650,KIMBERLEY,Remote Community Schools,PRIMARY SCHOOLS,KIN,Y06,10,7,8,9,5,8,11,9,,,,,,,,,67,68,690
5032,BEACHLANDS PRIMARY SCHOOL,50 WHITFIELD STREET,GERALDTON,WA,6530,PO BOX 7170,GERALDTON PO,WA,6531,-28.78770753,114.6043717,08 9921 1793,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,18,19,12,16,9,12,15,13,,,,,,,,,114,68,788
5033,BEACON PRIMARY SCHOOL,BROADBENT STREET,BEACON,WA,6472,C/- POST OFFICE,BEACON,WA,6472,-30.45065535,117.8688978,08 9686 0700,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,6,2,3,2,1,2,2,2,,,,,,,,,20,Not Rated,1032
5034,BEACONSFIELD PRIMARY SCHOOL,5 HALE STREET,BEACONSFIELD,WA,6162,5 HALE STREET,BEACONSFIELD,WA,6162,-32.068989,115.7593864,08 9432 1000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,75,63,70,59,50,53,40,49,,,,,,,,,459,93,1097
5720,BEAUMARIS PRIMARY SCHOOL,57 BEAUMARIS BOULEVARD,OCEAN REEF,WA,6027,57 BEAUMARIS BOULEVARD,OCEAN REEF,WA,6027,-31.74874488,115.7355529,08 6206 3100,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,76,102,111,76,121,86,122,91,,,,,,,,,785,91,1079
5084,BECKENHAM PRIMARY SCHOOL,386 RAILWAY PARADE,BECKENHAM,WA,6107,386 RAILWAY PARADE,BECKENHAM,WA,6107,-32.02408598,115.9573041,08 9278 3700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,39,53,59,46,59,51,45,55,,,,,,,,,407,76,982
1349,BEECHBORO CHRISTIAN SCHOOL,375 MARSHALL ROAD,BEECHBORO,WA,6063,375 MARSHALL ROAD,BEECHBORO,WA,6063,-31.85664957,115.9340083,08 9377 5211,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,29,42,36,39,38,26,22,16,,,,,,,,,248,96,1097
5696,BEECHBORO PRIMARY SCHOOL,20 KING ROAD,BEECHBORO,WA,6063,20 KING ROAD,BEECHBORO,WA,6063,-31.86780968,115.9357571,08 9392 5300,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,41,43,38,48,48,34,52,,,,,,,,,344,75,908
5756,BEELIAR PRIMARY SCHOOL,86 THE GRANGE,BEELIAR,WA,6164,86 THE GRANGE,BEELIAR,WA,6164,-32.13297396,115.8207228,08 6174 1400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,52,59,51,51,65,48,40,64,,,,,,,,,430,82,1005
5859,BEENYUP PRIMARY SCHOOL,66 SHEPPARTON BOULEVARD,BYFORD,WA,6122,66 SHEPPARTON BOULEVARD,BYFORD,WA,6122,-32.233554,115.992722,08 9526 6500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,43,11,26,19,6,16,7,,,,,,,,,168,Not Rated,
5674,BELDON PRIMARY SCHOOL,10 PACIFIC WAY,BELDON,WA,6027,10 PACIFIC WAY,BELDON,WA,6027,-31.7746556,115.7572522,08 9401 1144,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,50,46,50,32,55,32,37,34,,,,,,,,,336,82,1014
5036,BELMAY PRIMARY SCHOOL,410 SYDENHAM STREET,CLOVERDALE,WA,6105,410 SYDENHAM STREET,CLOVERDALE,WA,6105,-31.9507814,115.9466374,08 6278 5400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,20,29,22,39,25,40,28,28,,,,,,,,,231,76,960
5038,BELMONT PRIMARY SCHOOL,213 GREAT EASTERN HIGHWAY,BELMONT,WA,6104,213 GREAT EASTERN HIGHWAY,BELMONT,WA,6104,-31.94467587,115.9228256,08 6216 1800,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,10,20,8,14,15,18,9,13,,,,,,,,,107,77,1011
5039,BENCUBBIN PRIMARY SCHOOL,CNR MURRAY/MONGER STREETS,BENCUBBIN,WA,6477,C/- POST OFFICE,BENCUBBIN,WA,6477,-30.8076984,117.8572615,08 9685 1228,WHEATBELT,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,6,4,5,3,6,3,1,2,,,,,,,,,30,Not Rated,971
5041,BENTLEY PRIMARY SCHOOL,15 HEDLEY STREET,BENTLEY,WA,6102,15 HEDLEY STREET,BENTLEY,WA,6102,-32.01035815,115.9115642,08 6455 8000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,41,33,26,21,28,15,21,25,,,,,,,,,210,70,916
5799,BERTRAM PRIMARY SCHOOL,CHAMPION DRIVE,BERTRAM,WA,6167,CHAMPION DRIVE,BERTRAM,WA,6167,-32.24665386,115.843541,08 6174 1000,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,100,102,106,111,114,117,106,100,,,,,,,,,856,77,999
1285,BETHEL CHRISTIAN SCHOOL,20 BETHEL WAY,ALBANY,WA,6330,20 BETHEL WAY,ALBANY,WA,6330,-35.00481744,117.881185,08 9842 2100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,30,26,28,38,34,28,31,41,,32,46,23,27,37,16,,437,88,1016
1323,BIBLE BAPTIST CHRISTIAN ACADEMY,6-8 CHIDLOW STREET,MOUNT HELENA,WA,6082,6-8 CHIDLOW STREET,MOUNT HELENA,WA,6082,-31.87584448,116.2158547,08 9572 1648,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y06,,1,1,,1,5,1,3,,,,,,,,,12,Not Rated,
5686,BIBRA LAKE PRIMARY SCHOOL,29 ANNOIS ROAD,BIBRA LAKE,WA,6163,29 ANNOIS ROAD,BIBRA LAKE,WA,6163,-32.09409186,115.8391505,08 6173 7100,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,53,48,52,32,42,38,38,44,,,,,,,,,347,78,1019
5044,BICTON PRIMARY SCHOOL,VIEW TERRACE,BICTON,WA,6157,VIEW TERRACE,BICTON,WA,6157,-32.03272881,115.786548,08 9205 5800,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,78,69,55,70,49,57,49,36,,,,,,,,,463,96,1111
5046,BINDOON PRIMARY SCHOOL,19 LEARNERS WAY,BINDOON,WA,6502,19 LEARNERS WAY,BINDOON,WA,6502,-31.38017209,116.0971002,08 9576 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,9,19,15,21,16,15,16,16,,,,,,,,,127,74,963
5047,BINNU PRIMARY SCHOOL,LAUDER STREET,BINNU,WA,6532,C/- POST OFFICE,BINNU,WA,6532,-28.04197194,114.6755891,08 9936 1017,MIDWEST,Primary Schools,PRIMARY SCHOOLS,PPR,Y06,,2,3,5,,2,1,1,,,,,,,,,14,Not Rated,985
