Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students,BE Score,ICSEA,ATAR Rank,Median ATAR,Eligible Year 12 students,Students with ATAR,% students with ATAR
1371,GRACE CHRISTIAN SCHOOL,22 VITTORIA ROAD,BUNBURY,WA,6230,22 VITTORIA ROAD,BUNBURY,WA,6230,-33.33832794,115.6810759,08 9726 4200,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,42,43,46,47,44,49,52,59,,51,37,44,40,27,14,,595,93,1058,,,,,
1493,ST JAMES' ANGLICAN SCHOOL,2 GRACEFUL BOULEVARD,ALKIMOS,WA,6038,2 GRACEFUL BOULEVARD,ALKIMOS,WA,6038,-31.618541,115.68637,08 6336 8330,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y11,57,54,52,57,57,64,51,60,,70,69,63,40,22,,,716,92,1068,,,,,
4166,HALLS HEAD COLLEGE,CASUARINA DRIVE,HALLS HEAD,WA,6210,CASUARINA DRIVE,HALLS HEAD,WA,6210,-32.55444963,115.6942404,08 9581 0600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,245,266,280,212,225,171,,1399,Not Rated,930,112,69.95,169,38,22.49
4171,MINDARIE SENIOR COLLEGE,14 ELLISTON PARADE,MINDARIE,WA,6030,PO BOX 2003,CLARKSON,WA,6030,-31.6769792,115.7060496,08 6207 5500,NORTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,,,,,,,,,,,,,,406,374,,780,Not Rated,1034,111,70.1,372,98,26.34
1428,PETER MOYES ANGLICAN COMMUNITY SCHOOL,ELLISTON PARADE,MINDARIE,WA,6030,ELLISTON PARADE,MINDARIE,WA,6030,-31.67541576,115.7075982,08 9304 5500,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,96,62,76,53,64,64,64,62,,152,151,141,150,122,90,,1347,91,1073,55,81.05,90,57,63.33
4191,BUTLER COLLEGE,15 MCCORMACK BOULEVARD,BUTLER,WA,6036,PO BOX 317,QUINNS ROCKS,WA,6030,-31.65166367,115.7087008,08 9561 4200,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,231,331,331,316,238,186,,1633,79,993,39,83.7,170,36,21.18
1418,IRENE MCCORMACK CATHOLIC COLLEGE,18 BRADMAN DRIVE,BUTLER,WA,6036,18 BRADMAN DRIVE,BUTLER,WA,6036,-31.65406275,115.709449,08 9562 2400,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,148,171,153,158,146,104,,880,86,1027,120,66.2,104,47,45.19
1488,ALKIMOS BAPTIST COLLEGE,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,-31.66032819,115.7101785,08 9406 8189,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,19,19,22,11,21,16,16,32,,30,31,26,30,13,14,,300,85,1035,,,,,
1404,QUINNS BAPTIST COLLEGE,8 SALERNO DRIVE,MINDARIE,WA,6030,8 SALERNO DRIVE,MINDARIE,WA,6030,-31.67618587,115.7101964,08 9305 8808,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,51,46,57,60,64,63,64,64,,154,152,149,89,78,92,,1183,91,1062,118,66.9,91,31,34.07
1497,YOUTH FUTURES COMMUNITY SCHOOL,59 KEY LARGO DRIVE,CLARKSON,WA,6030,59 KEY LARGO DRIVE,CLARKSON,WA,6030,-31.69110006,115.7198502,08 9407 9099,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y09,Y12,,,,,,,,,,,,2,73,59,86,,220,,,,,,,
4161,EATON COMMUNITY COLLEGE,20 RECREATION DRIVE,EATON,WA,6232,20 RECREATION DRIVE,EATON,WA,6232,-33.3176055,115.7228908,08 9796 7000,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,117,97,105,103,70,61,,553,76,947,,,,,
4160,CLARKSON COMMUNITY HIGH SCHOOL,16 WALYUNGA BOULEVARD,CLARKSON,WA,6030,16 WALYUNGA BOULEVARD,CLARKSON,WA,6030,-31.67744562,115.7267272,08 6206 5000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,55,65,69,73,38,25,,325,74,921,,,,,
4146,AUSTRALIND SENIOR HIGH SCHOOL,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,12 BREAK O'DAY DRIVE,AUSTRALIND,WA,6233,-33.27665965,115.7284365,08 9797 4400,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,281,279,262,248,206,148,,1424,82,977,76,78.4,147,35,23.81
4172,KINROSS COLLEGE,FALKLAND WAY,KINROSS,WA,6028,FALKLAND WAY,KINROSS,WA,6028,-31.71789873,115.7325952,08 9233 6700,NORTH METROPOLITAN,High Schools,SECONDARY SCHOOLS,Y07,Y10,,,,,,,,,,181,198,165,173,,,,717,90,1033,,,,,
4054,ROCKINGHAM SENIOR HIGH SCHOOL,15 READ STREET,ROCKINGHAM,WA,6168,PO BOX 786,ROCKINGHAM,WA,6968,-32.28495172,115.7355203,08 9527 0300,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,198,193,163,160,145,106,,965,,,,,,,
1322,ROCKINGHAM MONTESSORI SCHOOL,7 ATTWOOD WAY,ROCKINGHAM,WA,6168,7 ATTWOOD WAY,ROCKINGHAM,WA,6168,-32.27658489,115.736737,08 9528 2118,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,37,32,17,28,23,12,17,18,,27,23,13,10,14,4,,275,81,1061,,,,,
1380,MANDURAH CATHOLIC COLLEGE,79-97 COODANUP DRIVE,MANDURAH,WA,6210,79-97 COODANUP DRIVE,MANDURAH,WA,6210,-32.54895945,115.738286,08 9531 9500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,30,27,59,31,44,62,64,48,,228,240,223,236,184,200,,1676,91,1040,32,84.5,199,83,41.71
4140,OCEAN REEF SENIOR HIGH SCHOOL,21 VENTURI DRIVE,OCEAN REEF,WA,6027,21 VENTURI DRIVE,OCEAN REEF,WA,6027,-31.75879833,115.7389749,08 6206 2700,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,260,231,204,209,185,145,,1234,89,1052,83,76.35,143,58,40.56
1326,PRENDIVILLE CATHOLIC COLLEGE,11 PRENDIVILLE DRIVE,OCEAN REEF,WA,6027,11 PRENDIVILLE DRIVE,OCEAN REEF,WA,6027,-31.75468355,115.7396844,08 9307 2000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,205,212,183,190,184,159,,1133,93,1077,60,80.45,159,85,53.46
1526,OUR LADY OF MERCY COLLEGE,100 LEISURE DRIVE,AUSTRALIND,WA,6233,PO BOX 220,AUSTRALIND,WA,6233,-33.270941,115.740064,08 9720 3300,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,111,141,108,115,53,55,,583,,,27,85.2,54,25,46.3
4128,SAFETY BAY SENIOR HIGH SCHOOL,80 MALIBU ROAD,SAFETY BAY,WA,6169,PO BOX 6122,WAIKIKI,WA,6169,-32.30328609,115.7409641,08 9527 0200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,242,192,218,225,160,116,,1153,,,136,58.75,115,23,20
1455,CHILD SIDE SCHOOL,32 ARMSTRONG ROAD,BOYANUP,WA,6237,32 ARMSTRONG ROAD,BOYANUP,WA,6237,-33.48598843,115.7411328,08 9731 5232,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,10,8,7,5,2,5,6,7,,9,5,7,3,,,,74,Not Rated,1083,,,,,
1325,ST MARK'S ANGLICAN COMMUNITY SCHOOL,ST MARKS DRIVE,HILLARYS,WA,6025,PO BOX 231,HILLARYS,WA,6923,-31.79848743,115.7428728,08 9403 1300,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,50,51,59,87,87,116,117,181,,179,179,137,157,166,156,,1722,96,1119,58,80.8,154,113,73.38
1109,SACRED HEART COLLEGE,15 HOCKING PARADE,SORRENTO,WA,6020,15 HOCKING PARADE,SORRENTO,WA,6020,-31.82737166,115.74657,08 9246 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,240,241,240,242,232,230,,1425,95,1109,19,87.6,229,147,64.19
4148,COODANUP COLLEGE,WANJEEP STREET,MANDURAH,WA,6210,WANJEEP STREET,MANDURAH,WA,6210,-32.54610231,115.7489824,08 9581 0900,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,158,144,150,137,124,86,,799,,,,,,,
1267,THE BEEHIVE MONTESSORI SCHOOL INC,CURTIN AVENUE,MOSMAN PARK,WA,6012,CURTIN AVENUE,MOSMAN PARK,WA,6012,-32.01798492,115.7522159,08 9383 1283,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,47,29,22,20,17,23,19,11,,4,7,1,1,,,,201,,,,,,,
1373,FREDERICK IRWIN ANGLICAN SCHOOL,36-66 GORDON ROAD,MANDURAH,WA,6210,36-66 GORDON ROAD,MANDURAH,WA,6210,-32.50869435,115.7530802,08 9537 0000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,79,81,78,87,83,87,112,108,,156,168,155,140,139,119,,1592,98,1088,69,79.65,120,92,76.67
1063,CHRISTIAN BROTHERS' COLLEGE,51 ELLEN STREET,FREMANTLE,WA,6160,51 ELLEN STREET,FREMANTLE,WA,6160,-32.05178739,115.7533646,08 9336 2700,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,158,164,133,144,114,113,,826,94,1089,49,82.2,112,66,58.93
1353,KOLBE CATHOLIC COLLEGE,DOWLING STREET,ROCKINGHAM,WA,6168,DOWLING STREET,ROCKINGHAM,WA,6168,-32.27997384,115.7539727,08 9592 1500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,223,220,205,193,160,159,,1160,92,1046,97,74.25,158,65,41.14
1423,SOUTH METROPOLITAN YOUTH LINK COMMUNITY COLLEGE,32 TESLA ROAD,ROCKINGHAM,WA,6168,32 TESLA ROAD,ROCKINGHAM,WA,6168,-32.27298182,115.7542075,08 9550 9400,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,,,,,,,,,,,50,91,91,127,165,,524,,,,,,,
1408,LIVING WATERS LUTHERAN COLLEGE,176 CURRIE STREET,WARNBRO,WA,6169,176 CURRIE STREET,WARNBRO,WA,6169,-32.34307717,115.7544169,08 9593 1211,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,17,19,25,27,28,35,44,45,,67,64,65,68,38,58,,600,,,51,81.5,57,21,36.84
4025,JOHN CURTIN COLLEGE OF THE ARTS,90 ELLEN STREET,FREMANTLE,WA,6160,90 ELLEN STREET,FREMANTLE,WA,6160,-32.04863279,115.7562238,08 9433 7200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,331,298,321,326,262,223,,1761,98,1120,25,85.25,224,146,65.18
4196,JOHN TONKIN COLLEGE,EDUCATION DRIVE,MANDURAH,WA,6210,PO BOX 684,MANDURAH,WA,6210,-32.51758689,115.756358,08 9583 7373,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,101,84,155,157,147,121,,765,81,980,126,64.6,119,21,17.65
1324,SOUTH COAST BAPTIST COLLEGE,30 GNANGARA DRIVE,WAIKIKI,WA,6169,30 GNANGARA DRIVE,WAIKIKI,WA,6169,-32.31535966,115.7575046,08 9540 4400,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,67,59,65,52,51,78,76,82,,104,79,111,63,69,53,,1009,,,,,,,
4159,WARNBRO COMMUNITY HIGH SCHOOL,2 SWALLOWTAIL PARADE,WARNBRO,WA,6169,2 SWALLOWTAIL PARADE,WARNBRO,WA,6169,-32.34556923,115.7590964,08 9553 0100 ,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,194,191,176,130,122,89,,902,,,,,,,
1462,MANDURAH BAPTIST COLLEGE,CATALINA DRIVE,LAKELANDS,WA,6210,CATALINA DRIVE,LAKELANDS,WA,6210,-32.47830702,115.7601182,08 9583 7000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,43,45,56,52,72,65,73,87,,123,128,126,126,104,123,,1223,,,109,70.65,121,63,52.07
1366,LAKE JOONDALUP BAPTIST COLLEGE,8 KENNEDYA DRIVE,JOONDALUP,WA,6027,8 KENNEDYA DRIVE,JOONDALUP,WA,6027,-31.73747504,115.7614206,08 9300 7444,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,77,57,56,57,70,74,90,108,,149,144,166,160,127,133,,1468,93,1105,80,77.25,133,85,63.91
1412,FOUNDATION CHRISTIAN COLLEGE,115 WALDRON BLVDE,GREENFIELDS,WA,6210,115 WALDRON BLVDE,GREENFIELDS,WA,6210,-32.52931617,115.7622888,08 9586 5444,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,26,38,30,35,45,42,48,34,,32,52,39,44,33,29,,527,84,1030,,,,,
4176,COMET BAY COLLEGE,2 ALLATOONA AVENUE,SECRET HARBOUR,WA,6173,PO BOX 7134,SECRET HARBOUR,WA,6173,-32.4158052,115.7629996,08 9553 8100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,310,290,334,298,293,247,,1772,82,1013,35,84,245,52,21.22
4153,BELRIDGE SECONDARY COLLEGE,17 GWENDOLINE DRIVE,BELDON,WA,6027,17 GWENDOLINE DRIVE,BELDON,WA,6027,-31.77038385,115.7631759,08 9408 8000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,199,185,180,177,146,128,,1015,86,1015,102,72.55,128,39,30.47
1147,PRESBYTERIAN LADIES COLLEGE,14 MCNEIL STREET,PEPPERMINT GROVE,WA,6011,14 MCNEIL STREET,PEPPERMINT GROVE,WA,6011,-31.993592,115.764906,08 9424 6444,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,25,12,18,13,23,34,43,50,,113,105,151,147,156,137,,1027,99,1111,11,89.2,109,97,88.99
4089,NANNUP DISTRICT HIGH SCHOOL,BISHOP STREET,NANNUP,WA,6275,BISHOP STREET,NANNUP,WA,6275,-33.99015078,115.7655942,08 9756 1008,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,15,8,14,13,13,16,16,12,,8,8,12,8,,,,143,82,1006,,,,,
1157,ST MARY'S ANGLICAN GIRLS' SCHOOL,75 ELLIOTT ROAD,KARRINYUP,WA,6018,75 ELLIOTT ROAD,KARRINYUP,WA,6018,-31.87697112,115.766244,08 9341 9111,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,18,34,26,43,47,52,76,83,,181,184,192,191,171,154,,1452,100,1158,7,90.3,153,128,83.66
